REVIEW_TYPE,ASSET_ID,REASON,OUTPUT,STATUS_NOTE
OCR_REVIEW,HFM-A000564,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B02/raw-ocr/HFM-A000564_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000565,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000565_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000566,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000566_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000567,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000567_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000568,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000568_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000569,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B02/raw-ocr/HFM-A000569_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000570,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000570_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000571,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000571_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000573,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000573_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000574,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,batches/B02/raw-ocr/HFM-A000574_p*,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000575,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000575_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000576,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000576_p* x3,FULL_OCR_PENDING
OCR_REVIEW,HFM-A000577,big scanned doc: sampled RAW OCR produced; full-page OCR pending compute budget,raw-ocr/HFM-A000577_p* x3,FULL_OCR_PENDING
